,x01_high,x02_high,x03_high,x06_high,x07_high,x08_high,x09_high,x21_high,x01_low,x02_low,x03_low,x06_low,x07_low,x08_low,x09_low,x21_low
x01_high,0.0,1.0,1.0,1.0,46.0,4.0,49.0,49.0,0.0,1.0,1.0,10.0,49.0,1.0,14.0,49.0
x02_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
x03_high,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
x06_high,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
x07_high,49.0,1.0,1.0,1.0,0.0,4.0,18.0,42.0,49.0,1.0,1.0,11.0,0.0,1.0,17.0,32.0
x08_high,49.0,1.0,1.0,1.0,19.0,0.0,13.0,45.0,13.0,1.0,1.0,20.0,49.0,0.0,24.0,23.0
x09_high,49.0,1.0,1.0,1.0,42.0,8.0,0.0,48.0,49.0,1.0,1.0,10.0,49.0,1.0,0.0,8.0
x21_high,49.0,1.0,1.0,1.0,49.0,37.0,49.0,0.0,49.0,1.0,1.0,31.0,29.0,1.0,49.0,0.0
x01_low,0.0,1.0,1.0,1.0,49.0,49.0,49.0,49.0,0.0,1.0,1.0,32.0,49.0,1.0,36.0,5.0
x02_low,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
x03_low,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
x06_low,49.0,1.0,1.0,0.0,49.0,48.0,40.0,45.0,49.0,1.0,1.0,0.0,49.0,1.0,49.0,29.0
x07_low,49.0,1.0,1.0,1.0,0.0,49.0,49.0,30.0,49.0,1.0,1.0,30.0,0.0,1.0,49.0,49.0
x08_low,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
x09_low,49.0,1.0,1.0,1.0,26.0,49.0,0.0,44.0,49.0,1.0,1.0,47.0,35.0,1.0,0.0,49.0
x21_low,49.0,1.0,1.0,1.0,43.0,4.0,11.0,0.0,49.0,1.0,1.0,40.0,36.0,1.0,30.0,0.0
